REDE;SUBREDE;TIPO;CÓDIGO;CLIENTE;BAIRRO;CIDADE;CLASSE ;LATITUDE;LONGITUDE;PRODUTO;VENDA;DEVOLUÇÃO;% DEV
CENTERBOX;-;REDE;212;CENTERBOX - MESSEJANA - LJ 01;MESSEJANA;FORTALEZA;B;-3.8185168;-38.4971878;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 83,50;R$ 0,00;0,00%
CENTERBOX;-;REDE;212;CENTERBOX - MESSEJANA - LJ 01;MESSEJANA;FORTALEZA;B;-3.8185168;-38.4971878;RICOTA VALE MILK 200G;R$ 188,84;R$ 0,00;0,00%
CENTERBOX;-;REDE;224;CENTERBOX - SANTOS DUMONT;COCO;FORTALEZA;A;-3.7440842;-38.4749343;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 0,00;R$ 114,68;100,00%
CENTERBOX;-;REDE;224;CENTERBOX - SANTOS DUMONT;COCO;FORTALEZA;A;-3.7440842;-38.4749343;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 110,51;R$ 23,79;21,53%
CENTERBOX;-;REDE;224;CENTERBOX - SANTOS DUMONT;COCO;FORTALEZA;A;-3.7440842;-38.4749343;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 0,00;R$ 137,40;100,00%
CENTERBOX;-;REDE;224;CENTERBOX - SANTOS DUMONT;COCO;FORTALEZA;A;-3.7440842;-38.4749343;RICOTA VALE MILK 200G;R$ 250,38;R$ 4,76;1,90%
-;SUPERMERCADO BAHAMAS;SUBREDE;239;SUPER CAUCAIA - LJ 02;CENTRO;CAUCAIA;C;-3.7342526;-38.65836087;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 129,00;R$ 26,83;20,80%
-;SUPERMERCADO BAHAMAS;SUBREDE;239;SUPER CAUCAIA - LJ 02;CENTRO;CAUCAIA;C;-3.7342526;-38.65836087;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 451,41;R$ 10,17;2,25%
-;SUPERMERCADO BAHAMAS;SUBREDE;239;SUPER CAUCAIA - LJ 02;CENTRO;CAUCAIA;C;-3.7342526;-38.65836087;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 490,05;R$ 0,00;0,00%
-;SUPERMERCADO BAHAMAS;SUBREDE;239;SUPER CAUCAIA - LJ 02;CENTRO;CAUCAIA;C;-3.7342526;-38.65836087;RICOTA VALE MILK 200G;R$ 220,98;R$ 0,00;0,00%
REDE UNIFORCA;PINHEIRO E CARNEIRO;SUBREDE;251;MERC PINHEIRO E CARNEIRO;JOQUEI CLUBE;FORTALEZA;C;-3.7759137;-38.5788541;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 38,95;R$ 0,00;0,00%
REDE UNIFORCA;PINHEIRO E CARNEIRO;SUBREDE;251;MERC PINHEIRO E CARNEIRO;JOQUEI CLUBE;FORTALEZA;C;-3.7759137;-38.5788541;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 84,15;R$ 20,25;24,06%
REDE UNIFORCA;PINHEIRO E CARNEIRO;SUBREDE;251;MERC PINHEIRO E CARNEIRO;JOQUEI CLUBE;FORTALEZA;C;-3.7759137;-38.5788541;RICOTA VALE MILK 200G;R$ 57,13;R$ 0,00;0,00%
REDE UNIFORCA;EXITO;SUBREDE;317;EXITO - PRQ POTIRA II;PARQUE GUADALAJARA (JUREMA);CAUCAIA;C;-3.7688869;-38.6231497;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 294,55;R$ 108,10;36,70%
REDE UNIFORCA;EXITO;SUBREDE;317;EXITO - PRQ POTIRA II;PARQUE GUADALAJARA (JUREMA);CAUCAIA;C;-3.7688869;-38.6231497;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 290,31;R$ 78,16;26,92%
PINHEIRO;-;REDE;322;PINHEIRO - CD;PAUPINA;FORTALEZA;B;-3.8622118;-38.4959971;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 5.962,40;R$ 91,56;1,54%
PINHEIRO;-;REDE;322;PINHEIRO - CD;PAUPINA;FORTALEZA;B;-3.8622118;-38.4959971;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 5.184,48;R$ 194,71;3,76%
PINHEIRO;-;REDE;322;PINHEIRO - CD;PAUPINA;FORTALEZA;B;-3.8622118;-38.4959971;RICOTA VALE MILK 200G;R$ 4.121,51;R$ 41,45;1,01%
REDE PARCERIA;-;VAREJO;330;SUPERMERCADO ACONCHEMAX;VILA PERI;FORTALEZA;B;-3.7877298;-38.5815546;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 164,26;R$ 0,00;0,00%
REDE PARCERIA;-;VAREJO;330;SUPERMERCADO ACONCHEMAX;VILA PERI;FORTALEZA;B;-3.7877298;-38.5815546;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 147,60;R$ 0,00;0,00%
REDE PARCERIA;-;VAREJO;330;SUPERMERCADO ACONCHEMAX;VILA PERI;FORTALEZA;B;-3.7877298;-38.5815546;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 223,65;R$ 0,00;0,00%
REDE PARCERIA;-;VAREJO;330;SUPERMERCADO ACONCHEMAX;VILA PERI;FORTALEZA;B;-3.7877298;-38.5815546;RICOTA VALE MILK 200G;R$ 110,20;R$ 0,00;0,00%
COMETA;-;REDE;337;COMETA (SIQUEIRA);VILA PERI;FORTALEZA;B;-3.789045;-38.5864455;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 194,31;R$ 0,00;0,00%
